Region,City,Boric,Boric_per,Kast,Kast_per,Provoste,Provoste_per,Sichel,Sichel_per,Artes,Artes_per,Enriquez,Enriquez_per,Parisi,Parisi_per,Votos_Emitidos,Votos_Emitidos_per,Votos_Nulos,Votos_Nulos_per,Votos_Blancos,Votos_Blancos_per,Votos_Total,Votos_Total_per,City_id,City_with_id,Region_id,Region_with_id
DE ARICA Y PARINACOTA,total,15077,17.78,25120,29.62,8423,9.93,6194,7.3,983,1.16,4703,5.55,24295,28.65,84795,98.73,756,0.88,332,0.39,85883,100.0,-99,total,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,ARICA,14763,18.16,24070,29.61,7921,9.74,6020,7.41,952,1.17,4536,5.58,23033,28.33,81295,98.78,712,0.87,295,0.36,82302,100.0,157,157-ARICA,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,CAMARONES,111,10.58,252,24.02,195,18.59,57,5.43,6,0.57,53,5.05,375,35.75,1049,98.31,14,1.31,4,0.37,1067,100.0,22534,22534-CAMARONES,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,GENERAL LAGOS,24,4.81,140,28.06,39,7.82,26,5.21,5,1.0,26,5.21,239,47.9,499,97.27,7,1.36,7,1.36,513,100.0,164,164-GENERAL LAGOS,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,PUTRE,179,9.17,658,33.71,268,13.73,91,4.66,20,1.02,88,4.51,648,33.2,1952,97.55,23,1.15,26,1.3,2001,100.0,165,165-PUTRE,1084,1084-DE ARICA Y PARINACOTA
DE TARAPACA,total,19975,18.31,33271,30.49,9441,8.65,8354,7.66,1343,1.23,6874,6.3,29857,27.36,109115,98.92,827,0.75,362,0.33,110304,100.0,-99,total,1085,1085-DE TARAPACA
DE TARAPACA,ALTO HOSPICIO,3183,13.08,5860,24.09,2212,9.09,1212,4.98,263,1.08,1712,7.04,9884,40.63,24326,99.01,173,0.7,70,0.28,24569,100.0,340,340-ALTO HOSPICIO,1085,1085-DE TARAPACA
DE TARAPACA,CAMIÑA,60,6.9,384,44.19,47,5.41,31,3.57,3,0.35,16,1.84,328,37.74,869,98.41,7,0.79,7,0.79,883,100.0,159,159-CAMIÑA,1085,1085-DE TARAPACA
DE TARAPACA,COLCHANE,17,1.88,419,46.25,18,1.99,10,1.1,4,0.44,5,0.55,433,47.79,906,99.02,8,0.87,1,0.11,915,100.0,160,160-COLCHANE,1085,1085-DE TARAPACA
DE TARAPACA,HUARA,207,12.26,479,28.38,157,9.3,88,5.21,12,0.71,78,4.62,667,39.51,1688,97.86,21,1.22,16,0.93,1725,100.0,161,161-HUARA,1085,1085-DE TARAPACA
DE TARAPACA,IQUIQUE,15561,21.11,24111,32.71,6038,8.19,6581,8.93,976,1.32,4687,6.36,15753,21.37,73707,98.95,556,0.75,229,0.31,74492,100.0,163,163-IQUIQUE,1085,1085-DE TARAPACA
DE TARAPACA,PICA,403,15.87,758,29.85,305,12.01,203,8.0,27,1.06,100,3.94,743,29.26,2539,98.99,16,0.62,10,0.39,2565,100.0,162,162-PICA,1085,1085-DE TARAPACA
DE TARAPACA,POZO ALMONTE,544,10.71,1260,24.8,664,13.07,229,4.51,58,1.14,276,5.43,2049,40.33,5080,98.55,46,0.89,29,0.56,5155,100.0,22536,22536-POZO ALMONTE,1085,1085-DE TARAPACA
DE ANTOFAGASTA,total,41451,20.59,42278,21.0,17535,8.71,14726,7.31,2548,1.27,14383,7.14,68419,33.98,201340,98.82,1727,0.85,677,0.33,203744,100.0,-99,total,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,ANTOFAGASTA,28116,23.01,27242,22.29,10136,8.29,9973,8.16,1632,1.34,8858,7.25,36254,29.67,122211,98.91,959,0.78,383,0.31,123553,100.0,11,11-ANTOFAGASTA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,CALAMA,8984,15.67,11688,20.39,4912,8.57,3589,6.26,595,1.04,3910,6.82,23638,41.24,57316,98.77,522,0.9,189,0.33,58027,100.0,15,15-CALAMA,1086,1086-DE ANTOFAGASTA
