Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_id,City_with_id,Region_id,Region_with_id
DE ARICA Y PARINACOTA,TOTAL,595,191628,88565,46.22,-99,total,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,ARICA,559,180736,85885,47.52,157,157-ARICA,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,CAMARONES,11,3196,885,27.69,22534,22534-CAMARONES,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,GENERAL LAGOS,6,1948,326,16.74,164,164-GENERAL LAGOS,1084,1084-DE ARICA Y PARINACOTA
DE ARICA Y PARINACOTA,PUTRE,19,5748,1469,25.56,165,165-PUTRE,1084,1084-DE ARICA Y PARINACOTA
DE TARAPACA,TOTAL,922,260147,115399,44.36,-99,total,1085,1085-DE TARAPACA
DE TARAPACA,ALTO HOSPICIO,179,60343,24211,40.12,340,340-ALTO HOSPICIO,1085,1085-DE TARAPACA
DE TARAPACA,CAMIÑA,8,2639,866,32.82,159,159-CAMIÑA,1085,1085-DE TARAPACA
DE TARAPACA,COLCHANE,14,3217,984,30.59,160,160-COLCHANE,1085,1085-DE TARAPACA
DE TARAPACA,HUARA,36,9045,1558,17.22,161,161-HUARA,1085,1085-DE TARAPACA
DE TARAPACA,IQUIQUE,616,167349,80389,48.04,163,163-IQUIQUE,1085,1085-DE TARAPACA
DE TARAPACA,PICA,22,5663,2741,48.4,162,162-PICA,1085,1085-DE TARAPACA
DE TARAPACA,POZO ALMONTE,47,11891,4650,39.11,22536,22536-POZO ALMONTE,1085,1085-DE TARAPACA
DE ANTOFAGASTA,TOTAL,1437,481800,217012,45.04,-99,total,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,ANTOFAGASTA,854,289086,135490,46.87,11,11-ANTOFAGASTA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,CALAMA,393,131956,57541,43.61,15,15-CALAMA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,MARIA ELENA,23,6173,1855,30.05,18,18-MARIA ELENA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,MEJILLONES,30,10072,4515,44.83,12,12-MEJILLONES,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,OLLAGUE,6,1663,234,14.07,16,16-OLLAGUE,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,22,7279,3345,45.95,23339,23339-SAN PEDRO DE ATACAMA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,SIERRA GORDA,9,2882,715,24.81,13,13-SIERRA GORDA,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,TALTAL,31,10493,4500,42.89,23528,23528-TALTAL,1086,1086-DE ANTOFAGASTA
DE ANTOFAGASTA,TOCOPILLA,69,22196,8817,39.72,19,19-TOCOPILLA,1086,1086-DE ANTOFAGASTA
DE ATACAMA,TOTAL,784,242779,117744,48.5,-99,total,1089,1089-DE ATACAMA
DE ATACAMA,ALTO DEL CARMEN,18,5148,1965,38.17,25,25-ALTO DEL CARMEN,1089,1089-DE ATACAMA
DE ATACAMA,CALDERA,45,15266,8066,52.84,22526,22526-CALDERA,1089,1089-DE ATACAMA
DE ATACAMA,CHAÑARAL,38,11980,5503,45.93,22525,22525-CHAÑARAL,1089,1089-DE ATACAMA
DE ATACAMA,COPIAPO,417,124441,62596,50.3,23,23-COPIAPO,1089,1089-DE ATACAMA
DE ATACAMA,DIEGO DE ALMAGRO,45,13101,5286,40.35,21,21-DIEGO DE ALMAGRO,1089,1089-DE ATACAMA
DE ATACAMA,FREIRINA,18,6051,2908,48.06,22528,22528-FREIRINA,1089,1089-DE ATACAMA
DE ATACAMA,HUASCO,25,8454,4388,51.9,22531,22531-HUASCO,1089,1089-DE ATACAMA
DE ATACAMA,TIERRA AMARILLA,43,12649,5570,44.04,24,24-TIERRA AMARILLA,1089,1089-DE ATACAMA
DE ATACAMA,VALLENAR,135,45689,21462,46.97,28,28-VALLENAR,1089,1089-DE ATACAMA
DE COQUIMBO,TOTAL,1865,623580,318356,51.05,-99,total,1090,1090-DE COQUIMBO
DE COQUIMBO,ANDACOLLO,35,11278,5833,51.72,66,66-ANDACOLLO,1090,1090-DE COQUIMBO
DE COQUIMBO,CANELA,30,9203,4863,52.84,62,62-CANELA,1090,1090-DE COQUIMBO
DE COQUIMBO,COMBARBALA,39,12522,5828,46.54,72,72-COMBARBALA,1090,1090-DE COQUIMBO
DE COQUIMBO,COQUIMBO,502,171212,86579,50.57,67,67-COQUIMBO,1090,1090-DE COQUIMBO
DE COQUIMBO,ILLAPEL,82,27992,14345,51.25,63,63-ILLAPEL,1090,1090-DE COQUIMBO
DE COQUIMBO,LA HIGUERA,14,4487,1968,43.86,68,68-LA HIGUERA,1090,1090-DE COQUIMBO
DE COQUIMBO,LA SERENA,524,179322,100101,55.82,69,69-LA SERENA,1090,1090-DE COQUIMBO
DE COQUIMBO,LOS VILOS,57,18641,9770,52.41,64,64-LOS VILOS,1090,1090-DE COQUIMBO
DE COQUIMBO,MONTE PATRIA,102,28145,12054,42.83,73,73-MONTE PATRIA,1090,1090-DE COQUIMBO
DE COQUIMBO,OVALLE,273,92330,44260,47.94,74,74-OVALLE,1090,1090-DE COQUIMBO
DE COQUIMBO,PAIHUANO,16,5295,2754,52.01,70,70-PAIHUANO,1090,1090-DE COQUIMBO
DE COQUIMBO,PUNITAQUI,32,10782,4624,42.89,75,75-PUNITAQUI,1090,1090-DE COQUIMBO
DE COQUIMBO,RIO HURTADO,18,4933,2055,41.66,76,76-RIO HURTADO,1090,1090-DE COQUIMBO
DE COQUIMBO,SALAMANCA,71,23633,11556,48.9,65,65-SALAMANCA,1090,1090-DE COQUIMBO
DE COQUIMBO,VICUÑA,70,23805,11766,49.43,71,71-VICUÑA,1090,1090-DE COQUIMBO
DE VALPARAISO,TOTAL,4924,1612630,929212,57.62,-99,total,1091,1091-DE VALPARAISO
DE VALPARAISO,ALGARROBO,43,14805,9760,65.92,183,183-ALGARROBO,1091,1091-DE VALPARAISO
DE VALPARAISO,CABILDO,53,18033,9756,54.1,171,171-CABILDO,1091,1091-DE VALPARAISO
DE VALPARAISO,CALERA,132,44870,24861,55.41,176,176-CALERA,1091,1091-DE VALPARAISO
DE VALPARAISO,CALLE LARGA,34,11602,6914,59.59,18293,18293-CALLE LARGA,1091,1091-DE VALPARAISO
DE VALPARAISO,CARTAGENA,55,18730,10722,57.25,184,184-CARTAGENA,1091,1091-DE VALPARAISO
DE VALPARAISO,CASABLANCA,67,22793,13238,58.08,195,195-CASABLANCA,1091,1091-DE VALPARAISO
DE VALPARAISO,CATEMU,36,12173,6352,52.18,189,189-CATEMU,1091,1091-DE VALPARAISO
DE VALPARAISO,CONCON,119,40829,28002,68.58,196,196-CONCON,1091,1091-DE VALPARAISO
DE VALPARAISO,EL QUISCO,43,14675,9466,64.5,185,185-EL QUISCO,1091,1091-DE VALPARAISO
DE VALPARAISO,EL TABO,37,12832,8392,65.4,186,186-EL TABO,1091,1091-DE VALPARAISO
DE VALPARAISO,HIJUELAS,46,15727,8518,54.16,177,177-HIJUELAS,1091,1091-DE VALPARAISO
DE VALPARAISO,ISLA DE PASCUA,19,6493,2923,45.02,18434,18434-ISLA DE PASCUA,1091,1091-DE VALPARAISO
DE VALPARAISO,JUAN FERNANDEZ,3,930,401,43.12,18680,18680-JUAN FERNANDEZ,1091,1091-DE VALPARAISO
