Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
DE ARICA Y PARINACOTA,TOTAL,595,191628,85883,44.82
DE ARICA Y PARINACOTA,ARICA,559,180736,82302,45.54
DE ARICA Y PARINACOTA,CAMARONES,11,3196,1067,33.39
DE ARICA Y PARINACOTA,GENERAL LAGOS,6,1948,513,26.33
DE ARICA Y PARINACOTA,PUTRE,19,5748,2001,34.81
DE TARAPACA,TOTAL,922,260147,110304,42.4
DE TARAPACA,ALTO HOSPICIO,179,60343,24569,40.72
DE TARAPACA,CAMIÑA,8,2639,883,33.46
DE TARAPACA,COLCHANE,14,3217,915,28.44
DE TARAPACA,HUARA,36,9045,1725,19.07
DE TARAPACA,IQUIQUE,616,167349,74492,44.51
DE TARAPACA,PICA,22,5663,2565,45.29
DE TARAPACA,POZO ALMONTE,47,11891,5155,43.35
DE ANTOFAGASTA,TOTAL,1437,481800,203744,42.29
DE ANTOFAGASTA,ANTOFAGASTA,854,289086,123553,42.74
DE ANTOFAGASTA,CALAMA,393,131956,58027,43.97
DE ANTOFAGASTA,MARIA ELENA,23,6173,1880,30.46
DE ANTOFAGASTA,MEJILLONES,30,10072,3909,38.81
DE ANTOFAGASTA,OLLAGUE,6,1663,372,22.37
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,22,7279,3310,45.47
DE ANTOFAGASTA,SIERRA GORDA,9,2882,644,22.35
DE ANTOFAGASTA,TALTAL,31,10493,3651,34.79
DE ANTOFAGASTA,TOCOPILLA,69,22196,8398,37.84
DE ATACAMA,TOTAL,784,242779,107002,44.07
DE ATACAMA,ALTO DEL CARMEN,18,5148,1964,38.15
DE ATACAMA,CALDERA,45,15266,7291,47.76
DE ATACAMA,CHAÑARAL,38,11980,4934,41.19
DE ATACAMA,COPIAPO,417,124441,56429,45.35
DE ATACAMA,DIEGO DE ALMAGRO,45,13101,4694,35.83
DE ATACAMA,FREIRINA,18,6051,2665,44.04
DE ATACAMA,HUASCO,25,8454,3913,46.29
DE ATACAMA,TIERRA AMARILLA,43,12649,5073,40.11
DE ATACAMA,VALLENAR,135,45689,20039,43.86
DE COQUIMBO,TOTAL,1865,623580,266892,42.8
DE COQUIMBO,ANDACOLLO,35,11278,4700,41.67
DE COQUIMBO,CANELA,30,9203,3903,42.41
DE COQUIMBO,COMBARBALA,39,12522,5073,40.51
DE COQUIMBO,COQUIMBO,502,171212,72860,42.56
DE COQUIMBO,ILLAPEL,82,27992,12050,43.05
DE COQUIMBO,LA HIGUERA,14,4487,1787,39.83
DE COQUIMBO,LA SERENA,524,179322,83821,46.74
