Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_with_id,City_id
DE ARICA Y PARINACOTA,TOTAL,595,191628,85883,44.82,total,-99
DE ARICA Y PARINACOTA,ARICA,559,180736,82302,45.54,157-ARICA,157
DE ARICA Y PARINACOTA,CAMARONES,11,3196,1067,33.39,22534-CAMARONES,22534
DE ARICA Y PARINACOTA,GENERAL LAGOS,6,1948,513,26.33,164-GENERAL LAGOS,164
DE ARICA Y PARINACOTA,PUTRE,19,5748,2001,34.81,165-PUTRE,165
DE TARAPACA,TOTAL,922,260147,110304,42.4,total,-99
DE TARAPACA,ALTO HOSPICIO,179,60343,24569,40.72,340-ALTO HOSPICIO,340
DE TARAPACA,CAMIÑA,8,2639,883,33.46,159-CAMIÑA,159
DE TARAPACA,COLCHANE,14,3217,915,28.44,160-COLCHANE,160
DE TARAPACA,HUARA,36,9045,1725,19.07,161-HUARA,161
DE TARAPACA,IQUIQUE,616,167349,74492,44.51,163-IQUIQUE,163
DE TARAPACA,PICA,22,5663,2565,45.29,162-PICA,162
DE TARAPACA,POZO ALMONTE,47,11891,5155,43.35,22536-POZO ALMONTE,22536
DE ANTOFAGASTA,TOTAL,1437,481800,203744,42.29,total,-99
DE ANTOFAGASTA,ANTOFAGASTA,854,289086,123553,42.74,11-ANTOFAGASTA,11
DE ANTOFAGASTA,CALAMA,393,131956,58027,43.97,15-CALAMA,15
DE ANTOFAGASTA,MARIA ELENA,23,6173,1880,30.46,18-MARIA ELENA,18
DE ANTOFAGASTA,MEJILLONES,30,10072,3909,38.81,12-MEJILLONES,12
DE ANTOFAGASTA,OLLAGUE,6,1663,372,22.37,16-OLLAGUE,16
DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,22,7279,3310,45.47,23339-SAN PEDRO DE ATACAMA,23339
DE ANTOFAGASTA,SIERRA GORDA,9,2882,644,22.35,13-SIERRA GORDA,13
DE ANTOFAGASTA,TALTAL,31,10493,3651,34.79,23528-TALTAL,23528
DE ANTOFAGASTA,TOCOPILLA,69,22196,8398,37.84,19-TOCOPILLA,19
DE ATACAMA,TOTAL,784,242779,107002,44.07,total,-99
DE ATACAMA,ALTO DEL CARMEN,18,5148,1964,38.15,25-ALTO DEL CARMEN,25
DE ATACAMA,CALDERA,45,15266,7291,47.76,22526-CALDERA,22526
DE ATACAMA,CHAÑARAL,38,11980,4934,41.19,22525-CHAÑARAL,22525
DE ATACAMA,COPIAPO,417,124441,56429,45.35,23-COPIAPO,23
DE ATACAMA,DIEGO DE ALMAGRO,45,13101,4694,35.83,21-DIEGO DE ALMAGRO,21
DE ATACAMA,FREIRINA,18,6051,2665,44.04,22528-FREIRINA,22528
DE ATACAMA,HUASCO,25,8454,3913,46.29,22531-HUASCO,22531
DE ATACAMA,TIERRA AMARILLA,43,12649,5073,40.11,24-TIERRA AMARILLA,24
DE ATACAMA,VALLENAR,135,45689,20039,43.86,28-VALLENAR,28
DE COQUIMBO,TOTAL,1865,623580,266892,42.8,total,-99
DE COQUIMBO,ANDACOLLO,35,11278,4700,41.67,66-ANDACOLLO,66
DE COQUIMBO,CANELA,30,9203,3903,42.41,62-CANELA,62
DE COQUIMBO,COMBARBALA,39,12522,5073,40.51,72-COMBARBALA,72
DE COQUIMBO,COQUIMBO,502,171212,72860,42.56,67-COQUIMBO,67
DE COQUIMBO,ILLAPEL,82,27992,12050,43.05,63-ILLAPEL,63
DE COQUIMBO,LA HIGUERA,14,4487,1787,39.83,68-LA HIGUERA,68
DE COQUIMBO,LA SERENA,524,179322,83821,46.74,69-LA SERENA,69
DE COQUIMBO,LOS VILOS,57,18641,7976,42.79,64-LOS VILOS,64
DE COQUIMBO,MONTE PATRIA,102,28145,10223,36.32,73-MONTE PATRIA,73
DE COQUIMBO,OVALLE,273,92330,37175,40.26,74-OVALLE,74
DE COQUIMBO,PAIHUANO,16,5295,2118,40.0,70-PAIHUANO,70
DE COQUIMBO,PUNITAQUI,32,10782,4132,38.32,75-PUNITAQUI,75
DE COQUIMBO,RIO HURTADO,18,4933,1789,36.27,76-RIO HURTADO,76
DE COQUIMBO,SALAMANCA,71,23633,9981,42.23,65-SALAMANCA,65
DE COQUIMBO,VICUÑA,70,23805,9304,39.08,71-VICUÑA,71
DE VALPARAISO,TOTAL,4924,1612630,802982,49.79,total,-99
