Region,City,Boric,Kast,Provoste,Sichel,Artes,Enriquez,Parisi,Votos_Emitidos,Votos_Nulos,Votos_Blancos,Votos_Total,Boric_per,Kast_per,Provoste_per,Sichel_per,Artes_per,Enriquez_per,Parisi_per,Votos_Emitidos_per,Votos_Nulos_per,Votos_Blancos_per,Votos_Total_per
DE ARICA Y PARINACOTA,total,15077,25120,8423,6194,983,4703,24296,84796,756,332,85884,17.78,29.62,9.93,7.3,1.16,5.55,28.65,98.73,0.88,0.39,100.0
DE ARICA Y PARINACOTA,ARICA,14763,24070,7921,6020,952,4536,23034,81296,712,295,82303,18.16,29.61,9.74,7.41,1.17,5.58,28.33,98.78,0.87,0.36,100.0
DE ARICA Y PARINACOTA,CAMARONES,111,252,195,57,6,53,375,1049,14,4,1067,10.58,24.02,18.59,5.43,0.57,5.05,35.75,98.31,1.31,0.37,100.0
DE ARICA Y PARINACOTA,GENERAL LAGOS,24,140,39,26,5,26,239,499,7,7,513,4.81,28.06,7.82,5.21,1.0,5.21,47.9,97.27,1.36,1.36,100.0
DE ARICA Y PARINACOTA,PUTRE,179,658,268,91,20,88,648,1952,23,26,2001,9.17,33.71,13.73,4.66,1.02,4.51,33.2,97.55,1.15,1.3,100.0
DE TARAPACA,total,19976,33273,9440,8354,1349,6874,29859,109125,826,538,110489,18.31,30.49,8.65,7.66,1.24,6.3,27.36,98.77,0.75,0.49,100.0
DE TARAPACA,ALTO HOSPICIO,3183,5860,2212,1212,263,1712,9884,24326,173,70,24569,13.08,24.09,9.09,4.98,1.08,7.04,40.63,99.01,0.7,0.28,100.0
DE TARAPACA,CAMIÑA,60,384,47,31,3,16,328,869,7,7,883,6.9,44.19,5.41,3.57,0.35,1.84,37.74,98.41,0.79,0.79,100.0
DE TARAPACA,COLCHANE,17,419,18,10,4,5,433,906,8,1,915,1.88,46.25,1.99,1.1,0.44,0.55,47.79,99.02,0.87,0.11,100.0
DE TARAPACA,HUARA,207,479,157,88,12,78,667,1688,21,16,1725,12.26,28.38,9.3,5.21,0.71,4.62,39.51,97.86,1.22,0.93,100.0
DE TARAPACA,IQUIQUE,15562,24113,6037,6581,982,4687,15755,73717,556,404,74677,21.11,32.71,8.19,8.93,1.33,6.36,21.37,98.71,0.74,0.54,100.0
